f,x
"8.78","-9.988"
"235.3","-9.97"
"372.73","-10.694"
"468.15","-7.162"
"584.53","-5.537"
"680.04","-2.445"
"803.6","-2.436"
"885.52","-0.079"
"947.69","-2.131"
"955.2","-5.509"
"971.98","-21.371"
"985.68","-21.223"
"1011.55","-48.689"
"1088.79","-21.95"
"1095.57","-21.509"
"1134.38","-9.167"
"1174.21","-2.114"
"1214.97","0.093"
"1290.88","-1.958"
"1373.44","-2.98"
"1421.47","-2.829"
"1538.84","-6.345"
"1586.72","-5.46"
"1738.61","-10.002"
"1786.57","-9.558"
"1904.05","-13.662"
"1952.1","-13.658"
"2062.21","-15.119"
"2083.31","-17.761"
"2151.84","-17.168"
"2241.45","-19.071"
"2296.7","-20.829"
"2372.15","-20.53"
"2462.12","-24.342"
"2585.7","-24.479"
"2648.05","-27.412"
"2785.53","-28.43"
"2903.04","-32.681"
"3012.95","-33.113"
"3061.43","-35.313"
"3178.23","-35.891"
"3281.96","-39.849"
"3323.09","-39.552"
"3515.99","-43.21"
"3729.58","-47.306"
"3798.27","-47.595"
"3853.75","-50.528"
"3936.12","-50.522"
"4018.81","-52.131"
"4046.55","-53.598"
"4101.66","-54.622"
"4135.95","-54.473"
"4191.09","-55.643"
"4226.2","-59.754"
